layer,task,probe,accuracy,accuracy_std,f1_macro,n
24,Binary faithful,mlp,0.8575134344589653,0.019092034090695355,0.5809702352340171,2000
25,3-class (A/B/C),linear,0.6739842497149937,0.017157628806222666,0.5877396418906647,2000
25,3-class (A/B/C),mlp,0.7380048737244908,0.018761523206784175,0.5808529721093303,2000
25,Binary bypass,linear,0.7859889311808199,0.023524629144143643,0.770157438793954,2000
25,Binary bypass,mlp,0.7954802280014249,0.010062807634765483,0.7673231824956593,2000
25,Binary faithful,linear,0.7355143625897662,0.022886388805319124,0.5993256990969765,2000
25,Binary faithful,mlp,0.8530008968806054,0.018047356406459266,0.5857031274858253,2000
26,3-class (A/B/C),linear,0.6719904965823946,0.006613606786429738,0.5849392440415819,2000
26,3-class (A/B/C),mlp,0.7289798919452202,0.021586052571556595,0.5549029589827394,2000
26,Binary bypass,linear,0.7900014437590235,0.022456015324284772,0.7721112559367777,2000
26,Binary bypass,mlp,0.7855051781573635,0.02035957438017067,0.7561182753958414,2000
26,Binary faithful,linear,0.7425156469727936,0.019437463746555025,0.6072084174794312,2000
26,Binary faithful,mlp,0.8425008468802929,0.006492729161599311,0.5866406727318423,2000
27,3-class (A/B/C),linear,0.6724967310896439,0.005807899030133289,0.5859864132626479,2000
27,3-class (A/B/C),mlp,0.7410099671331901,0.018697539444529877,0.5634654888063503,2000
27,Binary bypass,linear,0.7805076531728323,0.02334171211935351,0.7613593693651055,2000
27,Binary bypass,mlp,0.786988937430859,0.018358469515274894,0.7541461085272531,2000
27,Binary faithful,linear,0.7484993812461328,0.011029423968758405,0.6093706484879745,2000
27,Binary faithful,mlp,0.8430096188101176,0.010153586130250481,0.5902150310691205,2000
28,3-class (A/B/C),linear,0.6824819240941151,0.015530528864513539,0.5980214082918313,2000
28,3-class (A/B/C),mlp,0.7329999170703771,0.023592872577180967,0.5470477359405761,2000
28,Binary bypass,linear,0.789512690704317,0.02377514838628166,0.7716096910669187,2000
28,Binary bypass,mlp,0.785995165594785,0.01781180662925649,0.7527138554462729,2000
28,Binary faithful,linear,0.7464956280976756,0.011553307213599654,0.6091606824017346,2000
28,Binary faithful,mlp,0.8615009031306446,0.005118672449239858,0.571003207279062,2000
29,3-class (A/B/C),linear,0.673491774622099,0.010768301469469482,0.5899431781354233,2000
29,3-class (A/B/C),mlp,0.740037349114029,0.014911801934851573,0.5764477638606872,2000
29,Binary bypass,linear,0.7894864311651948,0.0224068927259353,0.7709303223491288,2000
29,Binary bypass,mlp,0.7874414246339039,0.03913245183719877,0.75692906147517,2000
29,Binary faithful,linear,0.7305030906443165,0.009446236798549777,0.5922974058957712,2000
29,Binary faithful,mlp,0.8554971374821093,0.010333464001912394,0.597009874005239,2000
30,3-class (A/B/C),linear,0.672000422017563,0.012213273240858457,0.5797506209139148,2000
30,3-class (A/B/C),mlp,0.7269636013583294,0.022444114016089225,0.5335993326649481,2000
30,Binary bypass,linear,0.7849901530634567,0.0205134184481005,0.7665532948986747,2000
30,Binary bypass,mlp,0.786463943524647,0.023664471480923033,0.755218313377046,2000
30,Binary faithful,linear,0.7354943624647654,0.017989042662458973,0.5942955758300481,2000
30,Binary faithful,mlp,0.8364946124663278,0.020075324731943824,0.6048645020893242,2000
31,3-class (A/B/C),linear,0.6685253349997616,0.016116879551022496,0.573846673466883,2000
31,3-class (A/B/C),mlp,0.72650849590198,0.018580596567622197,0.5320426901931762,2000
31,Binary bypass,linear,0.7849863936649604,0.02043405989168233,0.7658317799594437,2000
31,Binary bypass,mlp,0.7834764311026944,0.02851086096040434,0.7510915119602546,2000
31,Binary faithful,linear,0.7375056031600197,0.013208907285465414,0.5990890272585387,2000
31,Binary faithful,mlp,0.8430008406302539,0.011320172977525385,0.57260796578756,2000
32,3-class (A/B/C),linear,0.6580414635054155,0.01634789856055382,0.566349408719662,2000
32,3-class (A/B/C),mlp,0.7310434962606577,0.02163722403427561,0.540909840968492,2000
32,Binary bypass,linear,0.7844851655322845,0.01473675221628619,0.7652226903032621,2000
32,Binary bypass,mlp,0.7839901593134957,0.007451971774606796,0.7510321815284201,2000
32,Binary faithful,linear,0.7289830530190813,0.01631006357765215,0.5895308932041831,2000
32,Binary faithful,mlp,0.8445046125288282,0.012227625007283303,0.5611602676777359,2000
33,3-class (A/B/C),linear,0.6655215942114563,0.008943379495544813,0.5693067659134242,2000
33,3-class (A/B/C),mlp,0.7335422805347758,0.02154247738534506,0.5647749356550963,2000
33,Binary bypass,linear,0.7854789186182413,0.02512406759919865,0.7669865871296565,2000
33,Binary bypass,mlp,0.7844851905324408,0.024792279245296152,0.7502703658760496,2000
