layer,task,probe,accuracy,accuracy_std,f1_macro,f1_std,n
14,3-class (A/B/C),linear,0.5941306068493933,0.01674631921497742,0.5965895031663191,0.016551623045233846,4287
14,3-class (A/B/C),mlp,0.5927292854947466,0.01643974788581651,0.5947754169473314,0.015457817988899586,4287
14,Binary bypass (A vs non-A),linear,0.7718658626476597,0.013111292908484494,0.7394913992536278,0.014444257988286666,4287
14,Binary bypass (A vs non-A),mlp,0.7965929830573938,0.010979745102611646,0.734480196723602,0.01667958575752849,4287
14,Binary faithful (C vs non-C),linear,0.6652699692372972,0.013969334338148101,0.65369195104002,0.01247518836167657,4287
14,Binary faithful (C vs non-C),mlp,0.6962943318835968,0.013197840547368927,0.657740609000063,0.009717991924984213,4287
15,3-class (A/B/C),linear,0.5915610643731997,0.010258391540182484,0.5953232366610616,0.010286637608941492,4287
15,3-class (A/B/C),mlp,0.5815309544597759,0.018542168016020176,0.5836661778636192,0.018052162764723635,4287
15,Binary bypass (A vs non-A),linear,0.7744326851678076,0.011689660823155434,0.7419887988310612,0.012491869824902148,4287
15,Binary bypass (A vs non-A),mlp,0.8045213829344519,0.019367330421328332,0.7425647727169575,0.019071427776469693,4287
15,Binary faithful (C vs non-C),linear,0.6636352756539454,0.01861351390117521,0.6530006374002565,0.017135066547868522,4287
15,Binary faithful (C vs non-C),mlp,0.6932577729543891,0.008852765572713734,0.6556303341695433,0.010211502992967192,4287
16,3-class (A/B/C),linear,0.5878233007754595,0.005474127545762449,0.5907109783436153,0.005857709800850578,4287
16,3-class (A/B/C),mlp,0.5852659981014707,0.01657422488754901,0.5871690474992549,0.017399501360927782,4287
16,Binary bypass (A vs non-A),linear,0.7716319464277457,0.015550335817899365,0.7398063988460473,0.016344497577522397,4287
16,Binary bypass (A vs non-A),mlp,0.8091901874865701,0.00551103265737634,0.7504282297256452,0.010976502589718102,4287
16,Binary faithful (C vs non-C),linear,0.6664308464775209,0.017695508461551906,0.6546633821697297,0.016307049207742407,4287
16,Binary faithful (C vs non-C),mlp,0.691157422896046,0.018426842890950337,0.6537367419214093,0.020462945462110103,4287
17,3-class (A/B/C),linear,0.5948239236453938,0.007340077768837596,0.5977318128946676,0.007284381529382121,4287
17,3-class (A/B/C),mlp,0.5805971935493522,0.02236694758119437,0.5826700904990747,0.022691116718736283,4287
17,Binary bypass (A vs non-A),linear,0.7707014494645767,0.01245869813014455,0.7393311469896877,0.0124118811761272,4287
17,Binary bypass (A vs non-A),mlp,0.8021936445507041,0.008627016118402824,0.742629727256823,0.009998557721056197,4287
17,Binary faithful (C vs non-C),linear,0.6694660454287058,0.018512555689438312,0.657679228060138,0.01576425999771957,4287
17,Binary faithful (C vs non-C),mlp,0.6967556364289154,0.00818518744022667,0.6615161496346367,0.011547572288533186,4287
18,3-class (A/B/C),linear,0.5927233015914463,0.006244686777368893,0.5956056571982432,0.006584586661689135,4287
18,3-class (A/B/C),mlp,0.5682377132785534,0.015805728368941167,0.5714646502830327,0.016145773580315735,4287
18,Binary bypass (A vs non-A),linear,0.7730305478263472,0.015459517234469913,0.7419227413787206,0.015600350500737091,4287
18,Binary bypass (A vs non-A),mlp,0.7930943035960538,0.006610412427037588,0.7311091570045576,0.01011411089219709,4287
18,Binary faithful (C vs non-C),linear,0.6668967749481168,0.015183846811567073,0.6552792446418021,0.013543291150870806,4287
18,Binary faithful (C vs non-C),mlp,0.6836968554588158,0.01343521611650399,0.6436584300652157,0.01776824057814102,4287
19,3-class (A/B/C),linear,0.6006587733542226,0.010331225056026136,0.6030266792012345,0.010457500339674691,4287
19,3-class (A/B/C),mlp,0.5591394603063214,0.019560827387099317,0.5618941233955619,0.01941418631378242,4287
19,Binary bypass (A vs non-A),linear,0.7723309751314418,0.011817831272723315,0.7399958904057644,0.010968914783591216,4287
19,Binary bypass (A vs non-A),mlp,0.8042923626354199,0.008314667976351596,0.7434709919939031,0.011845147036491014,4287
19,Binary faithful (C vs non-C),linear,0.6720257960631356,0.021378804195004427,0.6604865723909237,0.019995187416046285,4287
19,Binary faithful (C vs non-C),mlp,0.6794934353860842,0.007359904059288416,0.6356235765770315,0.0104226162143243,4287
20,3-class (A/B/C),linear,0.594827459588253,0.01339260674688794,0.597642421544184,0.013608422695892984,4287
20,3-class (A/B/C),mlp,0.5722039531841165,0.022879603157457074,0.5748287490689106,0.02274199519247459,4287
20,Binary bypass (A vs non-A),linear,0.7718639586784277,0.011948149604983964,0.7402093426545425,0.012451827079420212,4287
20,Binary bypass (A vs non-A),mlp,0.8033583297293916,0.01274857843754128,0.7367909572120465,0.019669627589030503,4287
20,Binary faithful (C vs non-C),linear,0.6666653066886439,0.017067904286895745,0.6552076809879244,0.014646708091166196,4287
20,Binary faithful (C vs non-C),mlp,0.6766967765800905,0.008589794929525446,0.6369484184212365,0.0024654531643714503,4287
21,3-class (A/B/C),linear,0.6029895036896205,0.007702933692321523,0.6057366878141281,0.007985231884358004,4287
21,3-class (A/B/C),mlp,0.5761631212039613,0.015879978069818137,0.5795115998941116,0.01548133582532391,4287
